SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
,,,,,DD High Speed,No,Duty 9735 612B 1528 - 0229 Breaks 2202-2258 & 1915-1945,Night Chargehand
Mon,130217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,140217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,140217,Football,Brentford,2000,TBA by Control,No, F41,Control
Wed,150217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,160217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,170217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,180217,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 28A 2329 - 0155,Night Chargehand
,,,Reading,,SD High Back Seats,No,Duty 9731 31A 2349 - 0305,Night Chargehand
Sat,180217,Private Hire,UoR London Rd and,,201/208/209,Yes,Duty 9760 1240 - 1410,Night Chargehand
,,,UoR Whiteknights,,201/208/209,Yes,Duty 9761 1540 - 1700,Night Chargehand
Sun,190217,Private Hire,Kidz Klub,,2 x DD (524/525/526/860),No,KC1 Duty 9760 0730 - 1349 and KC3 Duty 9762 0745 - 1333,Night Chargehand
Sun,190217,SWT Rail Repl,Hounslow and,,DD High Speed,No,Duty 9730 427A 0558 - 1627 Breaks 0948-1038 & 1318-1418,Night Chargehand
,,,Ascot,,DD High Speed,No,"Duty 9731 427B 1447 - 0218 Breaks 1648-1738, 2018-2118",Night Chargehand
,,,,,,,and 2348-0018,
,,,,,DD High Speed,No,Duty 9732 433A 0548 - 1427 Breaks 0807-0838 & 1118-1218,Night Chargehand
,,,,,DD High Speed,No,"Duty 9733 433B 1247 - 0047 Breaks 1448-1538, 1818-1918",Night Chargehand
,,,,,,,and 2148-2238,
,,,,,DD High Speed,No,Duty 9734 437A 0643 - 1532 Breaks 0907-0938 & 1218-1318,Night Chargehand
,,,,,DD High Speed,No,"Duty 9735 437B 1342 - 0203 Breaks 1548-1638, 1918-2018",Night Chargehand
,,,,,,,and 2248-2340,
,,,,,DD High Speed,No,Duty 9736 438A 0712 - 1518 Breaks 0918-0952 & 1247-1322,Night Chargehand
,,,,,DD High Speed,No,"Duty 9737 438B 1343 - 0139 Breaks 1607-1652, 1758-1828,",Night Chargehand
,,,,,,,1947-2022 and 2307-2340,
Mon,200217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,210217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,220217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,220217,Tube Replacement,Epping - Chingford,,DD High Speed,No,"Duty 9730 0500 - 1815 Breaks 0720-0750, 1140-1230",Night Chargehand
,,,,,,,and 1515-1545,
,,,,,DD High Speed,No,"Duty 9731 1255 - 0045 Breaks 1445-1515, 2010-2050",Night Chargehand
,,,,,,,and 2240-2310,
Thurs,230217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,240217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,250217,Rugby Union,London Scottish,1500,TBA by Control,No,,Control
Sat,250217,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 54A 2329 - 0155,Night Chargehand
